TimeStamp, Value
20221002034052,462.57483959198
20221002034053,453.66108417510986
20221002034054,432.03091621398926
20221002034055,493.93653869628906
20221002034056,509.6787214279175
20221002034057,159.58893299102783
20221002034058,60.18829345703125
20221002034059,68.61138343811035
20221002034100,80.51002025604248
20221002034101,86.76600456237793
20221002034102,113.18016052246094
20221002034103,12103.530526161194
20221002034104,2662.718653678894
20221002034105,12102.303862571716
20221002034106,492.6689863204956
20221002034107,142.98808574676514
20221002034108,80.71446418762207
20221002034109,119.0272569656372
20221002034110,1696.0259675979614
20221002034111,1694.3086385726929
20221002034112,116.32859706878662
20221002034113,152.31072902679443
20221002034114,168.58446598052979
20221002034115,197.9835033416748
20221002034116,231.02164268493652
20221002034117,513.1542682647705
20221002034118,519.9418067932129
20221002034119,213.35768699645996
20221002034120,222.43499755859375
20221002034121,236.58251762390137
20221002034122,506.40761852264404
20221002034123,531.0226678848267
20221002034124,556.3328266143799
20221002034125,552.5301694869995
20221002034126,552.775502204895
20221002034127,552.284836769104
20221002034128,552.2439479827881
20221002034129,561.0350370407104
20221002034130,688.0764961242676
20221002034131,2571.2095499038696
20221002034132,2571.2504386901855
20221002034133,481.997013092041
20221002034134,489.31610584259033
20221002034135,12101.281642913818
20221002034136,487.1898889541626
20221002034137,456.0326337814331
20221002034138,417.9651737213135
20221002034139,12101.731419563293
20221002034140,479.9116849899292
20221002034141,32.75191783905029
20221002034142,36.718130111694336
20221002034143,44.773221015930176
20221002034144,48.28965663909912
20221002034145,30.21681308746338
20221002034146,38.926124572753906
20221002034147,563.5701417922974
20221002034148,42.156338691711426
20221002034149,44.69144344329834
20221002034150,48.37143421173096
20221002034151,72.00515270233154
20221002034152,165.55869579315186
20221002034153,101.69041156768799
20221002034154,99.60508346557617
20221002034155,136.65032386779785
20221002034156,86.64333820343018
20221002034157,64.8496150970459
20221002034158,364.6053075790405
20221002034159,387.9528045654297
20221002034200,357.40888118743896
20221002034201,362.7244234085083
20221002034202,372.0470666885376
20221002034203,360.31198501586914
20221002034204,357.89954662323
20221002034205,348.5769033432007
20221002034206,127.45034694671631
20221002034207,109.99083518981934
20221002034208,101.19974613189697
20221002034209,92.12243556976318
20221002034210,113.01660537719727
20221002034211,92.53132343292236
20221002034212,122.62547016143799
20221002034213,103.7757396697998
20221002034214,290.596604347229
20221002034215,197.5337266921997
20221002034216,359.90309715270996
20221002034218,352.7066707611084
20221002034219,371.47462368011475
20221002034220,362.3155355453491
20221002034221,350.4577875137329
20221002034222,330.50405979156494
20221002034223,367.42663383483887
20221002034224,350.74400901794434
20221002034225,374.00972843170166
20221002034226,351.3164520263672
20221002034227,346.5733528137207
20221002034228,333.03916454315186
20221002034229,348.00446033477783
20221002034230,341.0533666610718
20221002034231,364.68708515167236
20221002034232,364.9733066558838
20221002034233,355.28266429901123
20221002034234,327.478289604187
20221002034235,350.8666753768921
20221002034236,322.4489688873291
20221002034237,325.3520727157593
20221002034238,316.8063163757324
20221002034239,342.9751396179199
20221002034240,364.6053075790405
20221002034241,68.77493858337402
20221002034242,69.34738159179688
20221002034243,77.32069492340088
20221002034244,62.60073184967041
20221002034245,83.0451250076294
20221002034246,72.25048542022705
20221002034247,74.45847988128662
20221002034248,68.4887170791626
20221002034249,74.00870323181152
20221002034250,65.58561325073242
20221002034251,74.6220350265503
20221002034252,74.78559017181396
20221002034253,83.94467830657959
20221002034254,63.091397285461426
20221002034255,83.45401287078857
20221002034256,63.21406364440918
20221002034257,63.295841217041016
20221002034258,62.76428699493408
20221002034259,62.84606456756592
20221002034300,394.9856758117676
20221002034301,350.9484529495239
20221002034302,332.30316638946533
20221002034303,348.53601455688477
20221002034304,322.489857673645
20221002034305,376.21772289276123
20221002034306,330.05428314208984
20221002034307,335.0018262863159
20221002034308,327.4374008178711
20221002034309,335.6151580810547
20221002034310,71.75981998443604
20221002034311,92.40865707397461
20221002034312,50.66120624542236
20221002034313,80.7962417602539
20221002034314,86.72511577606201
20221002034315,71.71893119812012
20221002034316,350.98934173583984
20221002034317,325.1885175704956
20221002034318,152.63783931732178
20221002034319,74.90825653076172
20221002034320,348.69956970214844
20221002034321,365.09597301483154
20221002034322,125.24235248565674
20221002034323,369.7572946548462
20221002034324,98.66464138031006
20221002034325,378.8754940032959
20221002034326,400.0558853149414
20221002034327,71.80070877075195
20221002034328,355.2417755126953
20221002034329,390.6514644622803
20221002034330,385.7448101043701
20221002034331,343.22047233581543
20221002034332,86.4797830581665
20221002034333,56.91719055175781
